# OpenSignals Text File Format. Version 1
# {"0C:43:14:24:80:23": {"position": 0, "device": "bitalino_rev", "device name": "0C:43:14:24:80:23", "device connection": "0C:43:14:24:80:23", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-2-29", "time": "11:3:2.573", "channels": [1], "sensor": ["EMGBITREV"], "label": ["A1"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	427	
1	0	0	0	0	684	
2	0	0	0	0	425	
3	0	0	0	0	681	
4	0	0	0	0	423	
5	0	0	0	0	680	
6	0	0	0	0	413	
7	0	0	0	0	682	
8	0	0	0	0	423	
9	0	0	0	0	676	
10	0	0	0	0	427	
11	0	0	0	0	676	
12	0	0	0	0	424	
13	0	0	0	0	678	
14	0	0	0	0	420	
15	0	0	0	0	675	
0	0	0	0	0	423	
1	0	0	0	0	678	
2	0	0	0	0	422	
3	0	0	0	0	678	
4	0	0	0	0	422	
5	0	0	0	0	675	
6	0	0	0	0	421	
7	0	0	0	0	676	
8	0	0	0	0	425	
9	0	0	0	0	678	
10	0	0	0	0	424	
11	0	0	0	0	676	
12	0	0	0	0	414	
13	0	0	0	0	676	
14	0	0	0	0	419	
15	0	0	0	0	676	
0	0	0	0	0	418	
1	0	0	0	0	668	
2	0	0	0	0	420	
3	0	0	0	0	675	
4	0	0	0	0	417	
5	0	0	0	0	676	
6	0	0	0	0	414	
7	0	0	0	0	676	
8	0	0	0	0	416	
9	0	0	0	0	671	
10	0	0	0	0	402	
11	0	0	0	0	675	
12	0	0	0	0	418	
13	0	0	0	0	676	
14	0	0	0	0	412	
15	0	0	0	0	668	
0	0	0	0	0	416	
1	0	0	0	0	674	
2	0	0	0	0	415	
3	0	0	0	0	676	
4	0	0	0	0	416	
5	0	0	0	0	670	
6	0	0	0	0	414	
