nSeq,I1,I2,O1,O2,A1
9,0,0,0,0,501
10,0,0,0,0,508
11,0,0,0,0,500
12,0,0,0,0,510
13,0,0,0,0,493
14,0,0,0,0,509
15,0,0,0,0,481
0,0,0,0,0,513
1,0,0,0,0,496
2,0,0,0,0,523
3,0,0,0,0,495
4,0,0,0,0,510
5,0,0,0,0,479
6,0,0,0,0,512
7,0,0,0,0,500
8,0,0,0,0,497
9,0,0,0,0,504
10,0,0,0,0,499
11,0,0,0,0,480
12,0,0,0,0,501
13,0,0,0,0,468
14,0,0,0,0,540
15,0,0,0,0,472
0,0,0,0,0,560
1,0,0,0,0,510
2,0,0,0,0,529
3,0,0,0,0,485
4,0,0,0,0,504
5,0,0,0,0,500
6,0,0,0,0,526
7,0,0,0,0,429
8,0,0,0,0,498
9,0,0,0,0,513
10,0,0,0,0,522
11,0,0,0,0,526
12,0,0,0,0,480
13,0,0,0,0,498
14,0,0,0,0,476
15,0,0,0,0,473
0,0,0,0,0,506
1,0,0,0,0,484
2,0,0,0,0,432
3,0,0,0,0,475
4,0,0,0,0,499
5,0,0,0,0,461
6,0,0,0,0,524
7,0,0,0,0,489
8,0,0,0,0,518
9,0,0,0,0,486
10,0,0,0,0,539
11,0,0,0,0,499
12,0,0,0,0,505
13,0,0,0,0,471
14,0,0,0,0,479
15,0,0,0,0,523
0,0,0,0,0,496
1,0,0,0,0,454
2,0,0,0,0,508
3,0,0,0,0,502
4,0,0,0,0,556
5,0,0,0,0,451
6,0,0,0,0,524
7,0,0,0,0,488
8,0,0,0,0,575
9,0,0,0,0,521
10,0,0,0,0,532
11,0,0,0,0,509
12,0,0,0,0,507
13,0,0,0,0,437
14,0,0,0,0,553
15,0,0,0,0,463
0,0,0,0,0,543
1,0,0,0,0,469
2,0,0,0,0,599
3,0,0,0,0,483
4,0,0,0,0,545
5,0,0,0,0,503
6,0,0,0,0,504
7,0,0,0,0,499
8,0,0,0,0,500
9,0,0,0,0,495
10,0,0,0,0,508
11,0,0,0,0,470
12,0,0,0,0,496
13,0,0,0,0,511
14,0,0,0,0,479
15,0,0,0,0,451
0,0,0,0,0,475
1,0,0,0,0,471
2,0,0,0,0,527
3,0,0,0,0,484
4,0,0,0,0,531
5,0,0,0,0,463
6,0,0,0,0,574
7,0,0,0,0,479
8,0,0,0,0,514
9,0,0,0,0,508
10,0,0,0,0,509
11,0,0,0,0,501
12,0,0,0,0,496
13,0,0,0,0,480
14,0,0,0,0,511
15,0,0,0,0,483
0,0,0,0,0,531
1,0,0,0,0,479
2,0,0,0,0,511
3,0,0,0,0,495
4,0,0,0,0,508
5,0,0,0,0,495
