nSeq,I1,I2,O1,O2,A2
9,0,0,0,0,512
10,0,0,0,0,509
11,0,0,0,0,510
12,0,0,0,0,505
13,0,0,0,0,510
14,0,0,0,0,508
15,0,0,0,0,507
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,509
3,0,0,0,0,511
4,0,0,0,0,511
5,0,0,0,0,510
6,0,0,0,0,509
7,0,0,0,0,511
8,0,0,0,0,510
9,0,0,0,0,508
10,0,0,0,0,507
11,0,0,0,0,508
12,0,0,0,0,508
13,0,0,0,0,507
14,0,0,0,0,501
15,0,0,0,0,501
0,0,0,0,0,498
1,0,0,0,0,504
2,0,0,0,0,504
3,0,0,0,0,504
4,0,0,0,0,498
5,0,0,0,0,502
6,0,0,0,0,504
7,0,0,0,0,505
8,0,0,0,0,507
9,0,0,0,0,515
10,0,0,0,0,515
11,0,0,0,0,516
12,0,0,0,0,515
13,0,0,0,0,516
14,0,0,0,0,519
15,0,0,0,0,545
0,0,0,0,0,537
1,0,0,0,0,473
2,0,0,0,0,385
3,0,0,0,0,464
4,0,0,0,0,579
5,0,0,0,0,573
6,0,0,0,0,545
7,0,0,0,0,537
8,0,0,0,0,531
9,0,0,0,0,528
10,0,0,0,0,524
11,0,0,0,0,527
12,0,0,0,0,525
13,0,0,0,0,525
14,0,0,0,0,520
15,0,0,0,0,519
0,0,0,0,0,520
1,0,0,0,0,519
2,0,0,0,0,520
3,0,0,0,0,523
4,0,0,0,0,519
5,0,0,0,0,522
6,0,0,0,0,521
7,0,0,0,0,522
8,0,0,0,0,518
9,0,0,0,0,515
10,0,0,0,0,512
11,0,0,0,0,514
12,0,0,0,0,513
13,0,0,0,0,519
14,0,0,0,0,521
15,0,0,0,0,526
0,0,0,0,0,527
1,0,0,0,0,532
2,0,0,0,0,531
3,0,0,0,0,532
4,0,0,0,0,530
5,0,0,0,0,527
6,0,0,0,0,523
7,0,0,0,0,526
8,0,0,0,0,523
9,0,0,0,0,523
10,0,0,0,0,519
