nSeq,I1,I2,O1,O2,A3
9,0,0,0,0,392
10,0,0,0,0,392
11,0,0,0,0,392
12,0,0,0,0,392
13,0,0,0,0,392
14,0,0,0,0,392
15,0,0,0,0,392
0,0,0,0,0,391
1,0,0,0,0,391
2,0,0,0,0,391
3,0,0,0,0,391
4,0,0,0,0,391
5,0,0,0,0,391
6,0,0,0,0,391
7,0,0,0,0,391
8,0,0,0,0,391
9,0,0,0,0,391
10,0,0,0,0,391
11,0,0,0,0,391
12,0,0,0,0,391
13,0,0,0,0,391
14,0,0,0,0,391
15,0,0,0,0,391
0,0,0,0,0,391
1,0,0,0,0,391
2,0,0,0,0,391
3,0,0,0,0,391
4,0,0,0,0,391
5,0,0,0,0,391
6,0,0,0,0,391
7,0,0,0,0,390
8,0,0,0,0,390
9,0,0,0,0,390
10,0,0,0,0,391
11,0,0,0,0,390
12,0,0,0,0,390
13,0,0,0,0,390
14,0,0,0,0,390
15,0,0,0,0,390
0,0,0,0,0,390
1,0,0,0,0,390
2,0,0,0,0,390
3,0,0,0,0,390
4,0,0,0,0,390
5,0,0,0,0,390
6,0,0,0,0,390
7,0,0,0,0,390
8,0,0,0,0,390
9,0,0,0,0,389
10,0,0,0,0,390
11,0,0,0,0,389
12,0,0,0,0,389
13,0,0,0,0,389
14,0,0,0,0,389
15,0,0,0,0,389
0,0,0,0,0,389
1,0,0,0,0,389
2,0,0,0,0,389
3,0,0,0,0,389
4,0,0,0,0,389
5,0,0,0,0,389
6,0,0,0,0,389
7,0,0,0,0,388
8,0,0,0,0,388
9,0,0,0,0,388
10,0,0,0,0,388
11,0,0,0,0,388
12,0,0,0,0,388
13,0,0,0,0,388
14,0,0,0,0,388
15,0,0,0,0,388
0,0,0,0,0,388
1,0,0,0,0,388
2,0,0,0,0,388
3,0,0,0,0,388
4,0,0,0,0,387
5,0,0,0,0,387
6,0,0,0,0,387
7,0,0,0,0,387
8,0,0,0,0,387
9,0,0,0,0,387
10,0,0,0,0,387
11,0,0,0,0,387
12,0,0,0,0,387
13,0,0,0,0,387
14,0,0,0,0,387
15,0,0,0,0,387
0,0,0,0,0,387
1,0,0,0,0,387
2,0,0,0,0,387
3,0,0,0,0,387
4,0,0,0,0,387
5,0,0,0,0,387
6,0,0,0,0,387
7,0,0,0,0,386
8,0,0,0,0,386
9,0,0,0,0,386
10,0,0,0,0,386
11,0,0,0,0,386
12,0,0,0,0,386
13,0,0,0,0,386
14,0,0,0,0,386
15,0,0,0,0,386
0,0,0,0,0,386
1,0,0,0,0,385
2,0,0,0,0,386
3,0,0,0,0,385
4,0,0,0,0,385
5,0,0,0,0,385
6,0,0,0,0,385
7,0,0,0,0,385
8,0,0,0,0,385
9,0,0,0,0,385
10,0,0,0,0,385
11,0,0,0,0,385
12,0,0,0,0,385
13,0,0,0,0,385
14,0,0,0,0,385
15,0,0,0,0,385
0,0,0,0,0,385
1,0,0,0,0,385
2,0,0,0,0,385
3,0,0,0,0,384
4,0,0,0,0,384
5,0,0,0,0,384
6,0,0,0,0,384
7,0,0,0,0,384
8,0,0,0,0,384
9,0,0,0,0,384
10,0,0,0,0,384
11,0,0,0,0,384
12,0,0,0,0,384
13,0,0,0,0,384
14,0,0,0,0,384
15,0,0,0,0,384
0,0,0,0,0,384
1,0,0,0,0,384
2,0,0,0,0,384
3,0,0,0,0,384
4,0,0,0,0,383
5,0,0,0,0,383
6,0,0,0,0,383
7,0,0,0,0,383
8,0,0,0,0,383
9,0,0,0,0,383
10,0,0,0,0,383
11,0,0,0,0,383
12,0,0,0,0,383
13,0,0,0,0,383
14,0,0,0,0,383
15,0,0,0,0,383
0,0,0,0,0,383
1,0,0,0,0,383
2,0,0,0,0,383
3,0,0,0,0,383
4,0,0,0,0,383
5,0,0,0,0,383
6,0,0,0,0,383
7,0,0,0,0,382
8,0,0,0,0,382
9,0,0,0,0,382
10,0,0,0,0,382
11,0,0,0,0,382
12,0,0,0,0,382
13,0,0,0,0,382
14,0,0,0,0,382
15,0,0,0,0,382
0,0,0,0,0,382
1,0,0,0,0,382
2,0,0,0,0,382
3,0,0,0,0,382
4,0,0,0,0,382
5,0,0,0,0,382
6,0,0,0,0,382
7,0,0,0,0,382
8,0,0,0,0,382
9,0,0,0,0,382
10,0,0,0,0,382
11,0,0,0,0,382
12,0,0,0,0,382
13,0,0,0,0,382
14,0,0,0,0,382
15,0,0,0,0,382
0,0,0,0,0,382
1,0,0,0,0,381
2,0,0,0,0,382
3,0,0,0,0,381
4,0,0,0,0,381
5,0,0,0,0,381
6,0,0,0,0,382
7,0,0,0,0,381
8,0,0,0,0,381
9,0,0,0,0,381
10,0,0,0,0,381
11,0,0,0,0,381
12,0,0,0,0,381
13,0,0,0,0,381
14,0,0,0,0,381
15,0,0,0,0,381
0,0,0,0,0,381
1,0,0,0,0,381
2,0,0,0,0,381
3,0,0,0,0,381
4,0,0,0,0,381
5,0,0,0,0,381
6,0,0,0,0,381
7,0,0,0,0,381
8,0,0,0,0,381
9,0,0,0,0,381
10,0,0,0,0,381
11,0,0,0,0,381
12,0,0,0,0,381
13,0,0,0,0,380
14,0,0,0,0,381
15,0,0,0,0,380
0,0,0,0,0,380
1,0,0,0,0,380
2,0,0,0,0,380
3,0,0,0,0,380
4,0,0,0,0,380
5,0,0,0,0,380
6,0,0,0,0,380
7,0,0,0,0,380
8,0,0,0,0,380
9,0,0,0,0,380
10,0,0,0,0,380
11,0,0,0,0,380
12,0,0,0,0,380
