nSeq,I1,I2,O1,O2,A3
4,0,0,0,0,423
5,0,0,0,0,423
6,0,0,0,0,423
7,0,0,0,0,423
8,0,0,0,0,423
9,0,0,0,0,423
10,0,0,0,0,423
11,0,0,0,0,423
12,0,0,0,0,423
13,0,0,0,0,423
14,0,0,0,0,423
15,0,0,0,0,423
0,0,0,0,0,423
1,0,0,0,0,423
2,0,0,0,0,423
3,0,0,0,0,423
4,0,0,0,0,423
5,0,0,0,0,423
6,0,0,0,0,423
7,0,0,0,0,422
8,0,0,0,0,422
9,0,0,0,0,423
10,0,0,0,0,422
11,0,0,0,0,422
12,0,0,0,0,422
13,0,0,0,0,422
14,0,0,0,0,422
15,0,0,0,0,422
0,0,0,0,0,422
1,0,0,0,0,422
2,0,0,0,0,422
3,0,0,0,0,422
4,0,0,0,0,422
5,0,0,0,0,422
6,0,0,0,0,422
7,0,0,0,0,422
8,0,0,0,0,422
9,0,0,0,0,422
10,0,0,0,0,422
11,0,0,0,0,422
12,0,0,0,0,422
13,0,0,0,0,422
14,0,0,0,0,422
15,0,0,0,0,422
0,0,0,0,0,422
1,0,0,0,0,422
2,0,0,0,0,422
3,0,0,0,0,421
4,0,0,0,0,421
5,0,0,0,0,421
6,0,0,0,0,421
7,0,0,0,0,421
8,0,0,0,0,421
9,0,0,0,0,421
10,0,0,0,0,421
11,0,0,0,0,421
12,0,0,0,0,421
13,0,0,0,0,421
14,0,0,0,0,421
15,0,0,0,0,421
0,0,0,0,0,421
1,0,0,0,0,421
2,0,0,0,0,421
3,0,0,0,0,421
4,0,0,0,0,421
5,0,0,0,0,421
6,0,0,0,0,421
7,0,0,0,0,421
8,0,0,0,0,421
9,0,0,0,0,421
10,0,0,0,0,420
11,0,0,0,0,420
12,0,0,0,0,420
13,0,0,0,0,421
14,0,0,0,0,420
15,0,0,0,0,420
0,0,0,0,0,420
1,0,0,0,0,420
2,0,0,0,0,420
3,0,0,0,0,420
4,0,0,0,0,420
5,0,0,0,0,420
6,0,0,0,0,420
7,0,0,0,0,420
8,0,0,0,0,420
9,0,0,0,0,420
10,0,0,0,0,420
11,0,0,0,0,420
12,0,0,0,0,420
13,0,0,0,0,420
14,0,0,0,0,420
15,0,0,0,0,420
0,0,0,0,0,420
1,0,0,0,0,420
2,0,0,0,0,420
3,0,0,0,0,420
4,0,0,0,0,420
5,0,0,0,0,420
6,0,0,0,0,419
7,0,0,0,0,419
8,0,0,0,0,420
9,0,0,0,0,420
10,0,0,0,0,419
11,0,0,0,0,419
12,0,0,0,0,419
13,0,0,0,0,419
14,0,0,0,0,419
15,0,0,0,0,419
0,0,0,0,0,419
1,0,0,0,0,419
2,0,0,0,0,419
3,0,0,0,0,419
4,0,0,0,0,419
5,0,0,0,0,419
6,0,0,0,0,419
7,0,0,0,0,419
8,0,0,0,0,419
9,0,0,0,0,419
10,0,0,0,0,419
11,0,0,0,0,419
12,0,0,0,0,419
13,0,0,0,0,419
14,0,0,0,0,419
15,0,0,0,0,419
0,0,0,0,0,419
1,0,0,0,0,419
2,0,0,0,0,419
3,0,0,0,0,419
4,0,0,0,0,419
5,0,0,0,0,419
6,0,0,0,0,419
7,0,0,0,0,419
8,0,0,0,0,419
9,0,0,0,0,419
10,0,0,0,0,419
11,0,0,0,0,419
12,0,0,0,0,419
13,0,0,0,0,419
14,0,0,0,0,419
15,0,0,0,0,419
0,0,0,0,0,419
1,0,0,0,0,419
2,0,0,0,0,419
3,0,0,0,0,418
4,0,0,0,0,418
5,0,0,0,0,419
6,0,0,0,0,418
7,0,0,0,0,418
8,0,0,0,0,418
9,0,0,0,0,418
10,0,0,0,0,418
11,0,0,0,0,418
12,0,0,0,0,418
13,0,0,0,0,418
14,0,0,0,0,418
15,0,0,0,0,418
0,0,0,0,0,418
1,0,0,0,0,418
2,0,0,0,0,418
3,0,0,0,0,418
4,0,0,0,0,418
5,0,0,0,0,418
6,0,0,0,0,418
7,0,0,0,0,418
8,0,0,0,0,418
9,0,0,0,0,418
10,0,0,0,0,418
11,0,0,0,0,418
12,0,0,0,0,418
13,0,0,0,0,418
14,0,0,0,0,418
15,0,0,0,0,417
0,0,0,0,0,418
1,0,0,0,0,418
2,0,0,0,0,418
3,0,0,0,0,417
4,0,0,0,0,417
5,0,0,0,0,417
6,0,0,0,0,417
7,0,0,0,0,417
8,0,0,0,0,417
9,0,0,0,0,417
10,0,0,0,0,417
11,0,0,0,0,417
12,0,0,0,0,417
13,0,0,0,0,417
14,0,0,0,0,417
15,0,0,0,0,417
0,0,0,0,0,417
1,0,0,0,0,417
2,0,0,0,0,417
3,0,0,0,0,417
4,0,0,0,0,417
5,0,0,0,0,417
6,0,0,0,0,417
7,0,0,0,0,417
8,0,0,0,0,417
9,0,0,0,0,417
10,0,0,0,0,417
11,0,0,0,0,417
12,0,0,0,0,417
13,0,0,0,0,417
14,0,0,0,0,417
15,0,0,0,0,417
0,0,0,0,0,417
1,0,0,0,0,417
2,0,0,0,0,417
3,0,0,0,0,417
4,0,0,0,0,417
5,0,0,0,0,417
6,0,0,0,0,417
7,0,0,0,0,417
8,0,0,0,0,417
9,0,0,0,0,417
10,0,0,0,0,417
11,0,0,0,0,417
12,0,0,0,0,417
13,0,0,0,0,417
14,0,0,0,0,416
15,0,0,0,0,417
0,0,0,0,0,416
1,0,0,0,0,416
2,0,0,0,0,416
3,0,0,0,0,416
4,0,0,0,0,416
5,0,0,0,0,416
6,0,0,0,0,416
7,0,0,0,0,416
8,0,0,0,0,416
9,0,0,0,0,416
10,0,0,0,0,416
11,0,0,0,0,416
12,0,0,0,0,416
13,0,0,0,0,416
14,0,0,0,0,416
15,0,0,0,0,416
0,0,0,0,0,416
1,0,0,0,0,416
2,0,0,0,0,416
3,0,0,0,0,416
4,0,0,0,0,416
5,0,0,0,0,416
6,0,0,0,0,416
7,0,0,0,0,416
8,0,0,0,0,416
9,0,0,0,0,416
10,0,0,0,0,416
11,0,0,0,0,416
12,0,0,0,0,416
13,0,0,0,0,416
14,0,0,0,0,416
15,0,0,0,0,416
0,0,0,0,0,416
1,0,0,0,0,416
2,0,0,0,0,416
3,0,0,0,0,416
4,0,0,0,0,416
5,0,0,0,0,416
6,0,0,0,0,416
7,0,0,0,0,415
8,0,0,0,0,416
9,0,0,0,0,416
10,0,0,0,0,416
11,0,0,0,0,415
12,0,0,0,0,415
13,0,0,0,0,416
14,0,0,0,0,415
15,0,0,0,0,415
0,0,0,0,0,416
1,0,0,0,0,415
2,0,0,0,0,415
3,0,0,0,0,415
4,0,0,0,0,415
5,0,0,0,0,416
6,0,0,0,0,415
7,0,0,0,0,415
8,0,0,0,0,415
9,0,0,0,0,415
10,0,0,0,0,415
11,0,0,0,0,415
12,0,0,0,0,415
13,0,0,0,0,415
14,0,0,0,0,415
15,0,0,0,0,415
0,0,0,0,0,415
1,0,0,0,0,415
2,0,0,0,0,415
3,0,0,0,0,415
4,0,0,0,0,415
5,0,0,0,0,415
6,0,0,0,0,415
7,0,0,0,0,415
8,0,0,0,0,415
9,0,0,0,0,415
10,0,0,0,0,415
11,0,0,0,0,415
12,0,0,0,0,415
13,0,0,0,0,415
14,0,0,0,0,415
15,0,0,0,0,415
0,0,0,0,0,415
1,0,0,0,0,415
2,0,0,0,0,415
3,0,0,0,0,415
4,0,0,0,0,415
5,0,0,0,0,415
6,0,0,0,0,415
7,0,0,0,0,415
8,0,0,0,0,415
9,0,0,0,0,415
10,0,0,0,0,415
11,0,0,0,0,415
12,0,0,0,0,415
13,0,0,0,0,415
14,0,0,0,0,415
15,0,0,0,0,415
0,0,0,0,0,415
1,0,0,0,0,415
2,0,0,0,0,415
3,0,0,0,0,415
4,0,0,0,0,415
5,0,0,0,0,415
6,0,0,0,0,415
7,0,0,0,0,414
8,0,0,0,0,414
9,0,0,0,0,415
10,0,0,0,0,414
11,0,0,0,0,414
12,0,0,0,0,414
13,0,0,0,0,414
14,0,0,0,0,414
15,0,0,0,0,414
0,0,0,0,0,414
1,0,0,0,0,414
2,0,0,0,0,414
3,0,0,0,0,414
4,0,0,0,0,414
5,0,0,0,0,414
6,0,0,0,0,414
7,0,0,0,0,414
8,0,0,0,0,414
9,0,0,0,0,414
10,0,0,0,0,414
11,0,0,0,0,414
12,0,0,0,0,414
13,0,0,0,0,414
14,0,0,0,0,414
15,0,0,0,0,414
0,0,0,0,0,414
1,0,0,0,0,414
2,0,0,0,0,414
3,0,0,0,0,414
4,0,0,0,0,414
5,0,0,0,0,414
6,0,0,0,0,414
7,0,0,0,0,414
8,0,0,0,0,414
9,0,0,0,0,414
10,0,0,0,0,414
11,0,0,0,0,414
12,0,0,0,0,414
13,0,0,0,0,414
14,0,0,0,0,414
15,0,0,0,0,414
0,0,0,0,0,414
1,0,0,0,0,414
2,0,0,0,0,414
3,0,0,0,0,414
4,0,0,0,0,414
5,0,0,0,0,414
6,0,0,0,0,413
7,0,0,0,0,413
8,0,0,0,0,413
9,0,0,0,0,414
10,0,0,0,0,414
11,0,0,0,0,413
12,0,0,0,0,413
13,0,0,0,0,414
14,0,0,0,0,413
15,0,0,0,0,413
0,0,0,0,0,413
1,0,0,0,0,413
2,0,0,0,0,413
3,0,0,0,0,413
4,0,0,0,0,413
5,0,0,0,0,413
6,0,0,0,0,413
7,0,0,0,0,413
8,0,0,0,0,413
9,0,0,0,0,413
10,0,0,0,0,413
11,0,0,0,0,413
12,0,0,0,0,413
13,0,0,0,0,413
14,0,0,0,0,413
15,0,0,0,0,413
0,0,0,0,0,413
1,0,0,0,0,413
2,0,0,0,0,413
3,0,0,0,0,413
4,0,0,0,0,413
5,0,0,0,0,413
6,0,0,0,0,413
7,0,0,0,0,413
8,0,0,0,0,413
9,0,0,0,0,413
10,0,0,0,0,413
11,0,0,0,0,413
12,0,0,0,0,413
13,0,0,0,0,413
14,0,0,0,0,413
15,0,0,0,0,413
0,0,0,0,0,413
1,0,0,0,0,413
2,0,0,0,0,412
3,0,0,0,0,412
4,0,0,0,0,412
5,0,0,0,0,412
6,0,0,0,0,412
7,0,0,0,0,412
8,0,0,0,0,412
9,0,0,0,0,412
10,0,0,0,0,412
11,0,0,0,0,412
12,0,0,0,0,412
13,0,0,0,0,412
14,0,0,0,0,412
15,0,0,0,0,412
0,0,0,0,0,412
1,0,0,0,0,412
2,0,0,0,0,412
3,0,0,0,0,412
4,0,0,0,0,412
5,0,0,0,0,412
6,0,0,0,0,412
7,0,0,0,0,412
8,0,0,0,0,412
9,0,0,0,0,412
10,0,0,0,0,412
11,0,0,0,0,412
12,0,0,0,0,412
13,0,0,0,0,412
14,0,0,0,0,412
15,0,0,0,0,412
0,0,0,0,0,412
1,0,0,0,0,412
2,0,0,0,0,412
3,0,0,0,0,412
4,0,0,0,0,412
5,0,0,0,0,412
6,0,0,0,0,412
7,0,0,0,0,412
8,0,0,0,0,412
9,0,0,0,0,412
10,0,0,0,0,412
11,0,0,0,0,412
12,0,0,0,0,412
13,0,0,0,0,412
14,0,0,0,0,412
15,0,0,0,0,412
0,0,0,0,0,412
1,0,0,0,0,412
2,0,0,0,0,412
3,0,0,0,0,412
4,0,0,0,0,412
5,0,0,0,0,412
6,0,0,0,0,411
7,0,0,0,0,411
8,0,0,0,0,412
9,0,0,0,0,412
10,0,0,0,0,411
11,0,0,0,0,411
12,0,0,0,0,411
13,0,0,0,0,411
14,0,0,0,0,411
15,0,0,0,0,411
0,0,0,0,0,411
1,0,0,0,0,411
2,0,0,0,0,411
3,0,0,0,0,411
4,0,0,0,0,411
5,0,0,0,0,411
6,0,0,0,0,411
7,0,0,0,0,411
8,0,0,0,0,411
9,0,0,0,0,411
10,0,0,0,0,411
11,0,0,0,0,411
12,0,0,0,0,411
13,0,0,0,0,411
14,0,0,0,0,411
15,0,0,0,0,411
0,0,0,0,0,411
1,0,0,0,0,411
2,0,0,0,0,411
3,0,0,0,0,411
4,0,0,0,0,411
5,0,0,0,0,411
6,0,0,0,0,411
7,0,0,0,0,411
8,0,0,0,0,411
9,0,0,0,0,411
10,0,0,0,0,411
11,0,0,0,0,411
12,0,0,0,0,411
13,0,0,0,0,411
14,0,0,0,0,411
15,0,0,0,0,411
0,0,0,0,0,411
1,0,0,0,0,411
2,0,0,0,0,410
3,0,0,0,0,410
4,0,0,0,0,411
5,0,0,0,0,411
6,0,0,0,0,411
7,0,0,0,0,410
8,0,0,0,0,410
9,0,0,0,0,410
10,0,0,0,0,410
11,0,0,0,0,410
12,0,0,0,0,410
13,0,0,0,0,410
14,0,0,0,0,410
15,0,0,0,0,410
0,0,0,0,0,410
1,0,0,0,0,410
2,0,0,0,0,410
3,0,0,0,0,410
4,0,0,0,0,410
5,0,0,0,0,410
6,0,0,0,0,410
7,0,0,0,0,410
8,0,0,0,0,410
9,0,0,0,0,410
10,0,0,0,0,410
11,0,0,0,0,410
12,0,0,0,0,410
13,0,0,0,0,410
14,0,0,0,0,410
15,0,0,0,0,410
0,0,0,0,0,410
1,0,0,0,0,410
2,0,0,0,0,410
3,0,0,0,0,409
4,0,0,0,0,410
5,0,0,0,0,410
6,0,0,0,0,410
7,0,0,0,0,410
8,0,0,0,0,409
9,0,0,0,0,410
10,0,0,0,0,409
11,0,0,0,0,409
12,0,0,0,0,409
13,0,0,0,0,409
14,0,0,0,0,409
15,0,0,0,0,409
0,0,0,0,0,409
1,0,0,0,0,409
2,0,0,0,0,409
3,0,0,0,0,409
4,0,0,0,0,409
5,0,0,0,0,409
6,0,0,0,0,409
7,0,0,0,0,409
8,0,0,0,0,409
9,0,0,0,0,409
10,0,0,0,0,409
11,0,0,0,0,409
12,0,0,0,0,409
13,0,0,0,0,409
14,0,0,0,0,409
15,0,0,0,0,409
0,0,0,0,0,409
1,0,0,0,0,409
2,0,0,0,0,409
3,0,0,0,0,409
4,0,0,0,0,409
5,0,0,0,0,409
6,0,0,0,0,409
7,0,0,0,0,409
8,0,0,0,0,409
9,0,0,0,0,409
10,0,0,0,0,409
11,0,0,0,0,409
12,0,0,0,0,409
13,0,0,0,0,409
14,0,0,0,0,409
15,0,0,0,0,409
0,0,0,0,0,409
1,0,0,0,0,409
