nSeq,I1,I2,O1,O2,A3
12,0,0,0,0,525
13,0,0,0,0,525
14,0,0,0,0,525
15,0,0,0,0,525
0,0,0,0,0,525
1,0,0,0,0,525
2,0,0,0,0,525
3,0,0,0,0,525
4,0,0,0,0,525
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,525
8,0,0,0,0,524
9,0,0,0,0,525
10,0,0,0,0,525
11,0,0,0,0,525
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,524
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,524
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,524
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,523
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,523
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,523
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,523
10,0,0,0,0,523
11,0,0,0,0,523
12,0,0,0,0,523
13,0,0,0,0,523
14,0,0,0,0,523
15,0,0,0,0,523
0,0,0,0,0,523
1,0,0,0,0,523
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,523
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,523
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,525
15,0,0,0,0,525
0,0,0,0,0,525
1,0,0,0,0,524
2,0,0,0,0,525
3,0,0,0,0,525
4,0,0,0,0,525
5,0,0,0,0,525
6,0,0,0,0,525
7,0,0,0,0,525
8,0,0,0,0,525
9,0,0,0,0,526
10,0,0,0,0,526
11,0,0,0,0,526
